,OBJECTID,IDPOINT,NCN,NCE,Hnorm,Z,DS,DM,geometry,index_right,OBJECTID_1,NG,EG,g,H,B,L,geometry_right
74,32847,32895,383500.0,321300.0,100.57286640556468,1.916913256691168,31961.28297717761,1916.9132566911685,POINT (321299.99999999907 383499.99999999907),119,1143,383870.424809,322052.514015,981191.1542893935,125.952070215797,51.29365370570941,16.446944233912635,POINT (322052.5140150022 383870.42480899766)
75,32848,32896,383500.0,322300.0,135.41108297729807,1.917509537437702,31952.720885448256,1917.509537437702,POINT (322299.99999999907 383499.99999999907),119,1143,383870.424809,322052.514015,981191.1542893935,125.952070215797,51.29365370570941,16.446944233912635,POINT (322052.5140150022 383870.42480899766)
75,32848,32896,383500.0,322300.0,135.41108297729807,1.917509537437702,31952.720885448256,1917.509537437702,POINT (322299.99999999907 383499.99999999907),120,1144,384058.602168,322877.69872,981190.3954336836,134.89489285236385,51.29560205599694,16.458677420465786,POINT (322877.69871999975 384058.6021679994)
76,32849,32897,383500.0,323300.0,145.83445279243563,1.918106208189151,31944.12820687636,1918.1062081891514,POINT (323300 383499.99999999907),120,1144,384058.602168,322877.69872,981190.3954336836,134.89489285236385,51.29560205599694,16.458677420465786,POINT (322877.69871999975 384058.6021679994)
78,32851,32899,383500.0,325300.0,119.0,1.919300743231818,31926.85247510259,1919.3007432318177,POINT (325300 383499.99999999907),127,1153,384254.365762,325818.102082,981188.6464832082,118.57243587368066,51.29826880689464,16.500726843438038,POINT (325818.102082002 384254.3657620009)
79,32852,32900,383500.0,326300.0,123.37874565992792,1.919431836855312,31915.55979577015,1919.4318368553115,POINT (326300 383499.99999999907),97,1030,383301.744828,326412.635319,981188.1187352624,128.41486779437213,51.28989000444834,16.50971235851057,POINT (326412.635319002 383301.74482800066)
79,32852,32900,383500.0,326300.0,123.37874565992792,1.919431836855312,31915.55979577015,1919.4318368553115,POINT (326300 383499.99999999907),127,1153,384254.365762,325818.102082,981188.6464832082,118.57243587368066,51.29826880689464,16.500726843438038,POINT (325818.102082002 384254.3657620009)
80,32853,32901,383500.0,327300.0,134.01993371826987,1.919277168965423,31902.640257504194,1919.2771689654228,POINT (327300 383499.99999999907),97,1030,383301.744828,326412.635319,981188.1187352624,128.41486779437213,51.28989000444834,16.50971235851057,POINT (326412.635319002 383301.74482800066)
82,32855,32903,383500.0,329300.0,147.09236054518988,1.9189709007181,31876.73486366427,1918.9709007181,POINT (329300 383499.99999999907),134,1160,382955.832964,329468.602184,981186.2649206043,144.0,51.28770523541545,16.55367531723044,POINT (329468.6021840004 382955.8329640012)
83,32856,32904,383500.0,330300.0,147.0,1.918819301583462,31863.749585503934,1918.819301583462,POINT (330300 383499.99999999907),134,1160,382955.832964,329468.602184,981186.2649206043,144.0,51.28770523541545,16.55367531723044,POINT (329468.6021840004 382955.8329640012)
87,32860,32908,383500.0,334300.0,157.76977799045562,1.917097347029028,31805.91570830157,1917.0973470290282,POINT (334300.00000000093 383499.99999999907),12,485,383782.052946,335029.347071,981182.8081340838,158.75664209608004,51.29676930036902,16.63298965525236,POINT (335029.3470710004 383782.0529460013)
87,32860,32908,383500.0,334300.0,157.76977799045562,1.917097347029028,31805.91570830157,1917.0973470290282,POINT (334300.00000000093 383499.99999999907),90,1023,383388.5598819999,334889.258062,981183.2693235268,151.48294260183437,51.29319232909485,16.631163585817735,POINT (334889.2580620004 383388.5598820001)
88,32861,32909,383500.0,335300.0,155.6305578192405,1.916266403239,31789.377835380277,1916.2664032389996,POINT (335300.00000000093 383499.99999999907),12,485,383782.052946,335029.347071,981182.8081340838,158.75664209608004,51.29676930036902,16.63298965525236,POINT (335029.3470710004 383782.0529460013)
88,32861,32909,383500.0,335300.0,155.6305578192405,1.916266403239,31789.377835380277,1916.2664032389996,POINT (335300.00000000093 383499.99999999907),90,1023,383388.5598819999,334889.258062,981183.2693235268,151.48294260183437,51.29319232909485,16.631163585817735,POINT (334889.2580620004 383388.5598820001)
